Name,OwnerTeam,Tier,Lifecycle,Endpoints,Tags
User Management,Identity,gold,production,"https://api.example.com/users","auth;users"
Payments API,Finance,silver,preprod,"https://api.example.com/payments","payments;finance"
Inventory Service,Logistics,bronze,dev,"https://api.example.com/inventory","logistics;inventory"
Reporting API,Analytics,gold,production,"https://api.example.com/reports","analytics;reports"
Notifications Service,Operations,silver,preprod,"https://api.example.com/notifications","notifications;ops"
Authentication Service,Identity,gold,production,"https://api.example.com/auth","auth;security"
Payments Gateway,Finance,gold,production,"https://api.example.com/gateway","payments;gateway"
Shipment Tracker,Logistics,silver,preprod,"https://api.example.com/shipment","logistics;tracking"
Data Warehouse,Analytics,gold,production,"https://api.example.com/warehouse","analytics;data"
Email Service,Operations,bronze,dev,"https://api.example.com/email","notifications;email"
Calendar API,Productivity,silver,preprod,"https://api.example.com/calendar","calendar;productivity"
Chat Service,Communications,gold,production,"https://api.example.com/chat","chat;messaging"
File Storage,Infrastructure,silver,preprod,"https://api.example.com/files","storage;files"
Logging Service,DevOps,bronze,dev,"https://api.example.com/logs","logs;monitoring"
Metrics API,DevOps,silver,preprod,"https://api.example.com/metrics","metrics;monitoring"
Support Ticket System,Operations,gold,production,"https://api.example.com/tickets","support;ops"
HR Portal,HR,silver,preprod,"https://api.example.com/hr","hr;employees"
Recruitment API,HR,gold,production,"https://api.example.com/recruitment","hr;recruitment"
Dev Portal,Engineering,silver,preprod,"https://api.example.com/dev","dev;engineering"
CI/CD Service,Engineering,gold,production,"https://api.example.com/cicd","ci;cd;devops"
